url	first_seen	portal	title	company	status	location
https://www.arbeitnow.com/jobs/companies/hurracom/head-of-google-shopping-amazon-commerce-feeds-marketplaces-100-remote-stuttgart-75216	2026-07-15	arbeitnow-api	Head of Google Shopping & Amazon Commerce - Feeds & Marketplaces (m/w/d) - 100% remote	hurra.com	added	Stuttgart, Remote
https://www.arbeitnow.com/jobs/companies/virtual-identity-ag/digital-business-consultant-freiburg-im-breisgau-42111	2026-07-15	arbeitnow-api	Digital Business Consultant (m/f/x)	Virtual Identity AG	added	Freiburg im Breisgau, Remote
https://www.arbeitnow.com/jobs/companies/mpg-care-gmbh/technischer-immobilienmanager-gebaudemanagement-standort-fulda-wurzburg-377621	2026-07-15	arbeitnow-api	Technischer Immobilienmanager/Gebäudemanagement Standort Fulda/Würzburg	MPG Care GmbH	added	Fulda, Remote
https://nofluffjobs.com/pl/job/data-analytics-consultant-antal-remote	2026-07-15	nofluffjobs-api	Data Analytics Consultant	Antal	added	Remote, Warszawa, Kraków, Wrocław, Poznań, Łódź, Rzeszów, Gdańsk, Katowice, kuyavian-pomeranian, lublin, lubusz, opole, podlaskie, holy-cross, warmian-masurian, west-pomeranian
https://nofluffjobs.com/pl/job/technical-project-leader-scalo-remote-2	2026-07-15	nofluffjobs-api	Technical Project Leader	Scalo	added	Remote, Katowice, lower-silesian, kuyavian-pomeranian, lodz, lublin, lubusz, lesser-poland, masovian, opole, subcarpathian, podlaskie, pomeranian, holy-cross, warmian-masurian, greater-poland, west-pomeranian
https://www.getonbrd.com/jobs/technical-lead-sr-42labs-remote	2026-07-15	getonbrd-api	Technical Lead Sr	42Labs	added	Remote
https://www.getonbrd.com/jobs/lider-tecnico-technical-lead-laravel-php-plataforma-de-pa-promarketing-remote	2026-07-15	getonbrd-api	Líder Técnico / Technical Lead Laravel/PHP– Plataforma de Pa	Promarketing	added	Remote
https://www.getonbrd.com/jobs/tech-lead-outsystems-latam-remoto-i2b-technologies-remote	2026-07-15	getonbrd-api	Tech Lead Outsystems con Español (LATAM)	I2B Technologies	added	Remote
https://www.getonbrd.com/jobs/prestashop-technical-lead-interfell-remote	2026-07-15	getonbrd-api	Prestashop Technical Lead	Interfell	added	Remote
https://www.getonbrd.com/jobs/tech-lead-grupo-mariposa-remote	2026-07-15	getonbrd-api	Tech Lead	Grupo Mariposa	added	Remote
https://www.getonbrd.com/jobs/oracle-opera-pms-micros-simphony-consultant-devups-remote	2026-07-15	getonbrd-api	Oracle Opera Pms / Micros Simphony Consultant	Devups	added	Remote
https://www.getonbrd.com/jobs/partner-tecnico-astro-static-morfeo-media-lab-remote	2026-07-15	getonbrd-api	Partner Técnico Astro (Static)	Morfeo Media Lab	added	Remote
https://www.getonbrd.com/jobs/lider-de-integraciones-integration-lead-coderslab-io-remote	2026-07-15	getonbrd-api	Arquitecto Líder de Integraciones / Integration Lead	Coderslab.io	added	Remote
https://www.themuse.com/jobs/avalabs/senior-technical-product-manager-avacloud	2026-07-15	themuse-api	Senior Technical Product Manager - AvaCloud	Ava Labs	added	Flexible / Remote
https://www.themuse.com/jobs/sunrun/sr-director-total-rewards	2026-07-15	themuse-api	Sr Director, Total Rewards	Sunrun	added	Flexible / Remote
https://www.themuse.com/jobs/spacex/starlink-growth-manager-us-south-e71838	2026-07-15	themuse-api	Starlink Growth Manager, US South	SpaceX	added	Flexible / Remote
https://www.themuse.com/jobs/sunrun/manager-project-management-4a9a5f	2026-07-15	themuse-api	Manager, Project Management	Sunrun	added	Flexible / Remote
https://www.themuse.com/jobs/celonis/lead-consultant-public-sector-9fb3a9	2026-07-15	themuse-api	Lead Consultant - Public Sector	Celonis	added	Flexible / Remote
https://www.themuse.com/jobs/stanforduniversity/sr-research-grants-manager-remotehybrid-opportunity-81b736	2026-07-15	themuse-api	Sr. Research & Grants Manager (Remote/Hybrid opportunity)	Stanford University	added	Flexible / Remote
https://www.themuse.com/jobs/spacex/starlink-growth-manager-california	2026-07-15	themuse-api	Starlink Growth Manager, California	SpaceX	added	Flexible / Remote
https://careers.deloitte.ca/job/ManagerSenior-Manager%2C-Turnaround-Restructuring/132608-en_US	2026-07-15	successfactors-api	Manager/Senior Manager, Turnaround & Restructuring	Deloitte Canada	added	Vancouver, BC, BC, CAN, V7X 1P4
https://careers.deloitte.ca/job/Senior-Consultant%2C-Turnaround-Restructuring/132609-en_US	2026-07-15	successfactors-api	Senior Consultant, Turnaround & Restructuring	Deloitte Canada	added	Vancouver, BC, BC, CAN, V7X 1P4
https://careers.deloitte.ca/job/Senior-Consultant%2C-Financial-Crime/132627-en_US	2026-07-15	successfactors-api	Senior Consultant, Financial Crime	Deloitte Canada	added	Vancouver, BC, BC, CAN, V7X 1P4
https://careers.deloitte.ca/job/Manager%2C-M-A-Transaction-Diligence%2C-Execution-Reporting/132726-en_US	2026-07-15	successfactors-api	Manager, M&A Transaction Diligence, Execution & Reporting	Deloitte Canada	added	Vancouver, BC, BC, CAN, V7X 1P4
https://careers.deloitte.ca/job/Senior-Manager%2C-M-A-Transaction-Diligence%2C-Execution-Reporting/132724-en_US	2026-07-15	successfactors-api	Senior Manager, M&A Transaction Diligence, Execution & Reporting	Deloitte Canada	added	Vancouver, BC, BC, CAN, V7X 1P4
https://careers.deloitte.ca/job/Sr-Analyst-Manager%2C-TMT%2C-SR-ED-%28Vancouver%29/133752-en_US	2026-07-15	successfactors-api	Sr Analyst / Manager, TMT, SR&ED (Vancouver)	Deloitte Canada	added	Vancouver, BC, BC, CAN, V7X 1P4
